105,42.01,8.99,0.75,0.30,9999,9999,-1.00,-1.00,44763
106,42.38,9.14,0.75,0.30,9999,9999,-1.00,-1.00,45270
107,43.67,9.64,0.77,0.30,44.17,10.07,337755072,-843976704,45761
108,44.01,9.74,0.78,0.30,44.53,10.07,337755104,-843976704,46011
109,44.34,9.83,0.80,0.30,44.88,10.07,337755136,-843976704,46262
110,44.74,9.98,0.80,0.30,9999,9999,-1.00,-1.00,46763
111,45.14,10.13,0.80,0.30,9999,9999,-1.00,-1.00,47270
112,45.54,10.28,0.80,0.30,9999,9999,-1.00,-1.00,47778
113,46.83,10.89,0.79,0.31,46.67,11.25,337755296,-843976576,48014
114,46.99,11.11,0.78,0.32,47.02,11.84,337755328,-843976512,48261
115,47.38,11.26,0.78,0.32,9999,9999,-1.00,-1.00,48762
116,47.77,11.42,0.78,0.32,9999,9999,-1.00,-1.00,49270
117,48.75,12.02,0.76,0.33,48.45,12.44,337755456,-843976448,49761
118,49.13,12.19,0.76,0.33,9999,9999,-1.00,-1.00,50262
119,49.48,12.67,0.73,0.35,49.16,13.62,337755520,-843976320,50510
120,49.60,12.90,0.72,0.36,49.51,13.62,337755552,-843976320,50760
121,49.97,13.08,0.72,0.36,9999,9999,-1.00,-1.00,51261
122,50.41,13.50,0.71,0.37,50.23,14.21,337755616,-843976256,51510
123,50.77,13.68,0.71,0.37,9999,9999,-1.00,-1.00,52011
124,51.12,13.87,0.71,0.37,9999,9999,-1.00,-1.00,52518
125,52.09,14.62,0.70,0.38,52.01,15.40,337755776,-843976128,53010
126,52.44,14.81,0.70,0.38,9999,9999,-1.00,-1.00,53511
127,52.86,15.27,0.68,0.40,52.72,15.99,337755840,-843976064,53760
128,53.02,15.47,0.68,0.41,53.08,15.99,337755872,-843976064,54009
129,53.15,15.72,0.68,0.42,53.08,16.58,337755872,-843976000,54259
130,53.49,15.93,0.68,0.42,9999,9999,-1.00,-1.00,54760
131,53.94,16.30,0.67,0.42,53.79,16.58,337755936,-843976000,55009
132,54.27,16.51,0.67,0.42,9999,9999,-1.00,-1.00,55510
133,54.78,16.87,0.67,0.42,54.86,17.17,337756032,-843975936,55759
134,55.12,17.08,0.67,0.42,9999,9999,-1.00,-1.00,56260
135,55.80,17.64,0.67,0.43,55.93,18.36,337756128,-843975808,56759
136,56.15,17.93,0.67,0.44,56.28,18.36,337756160,-843975808,57259
137,56.49,18.15,0.67,0.44,9999,9999,-1.00,-1.00,57760
138,57.27,18.72,0.68,0.45,57.71,19.54,337756288,-843975680,58259
139,57.61,18.94,0.68,0.45,9999,9999,-1.00,-1.00,58760
140,57.96,19.16,0.68,0.45,9999,9999,-1.00,-1.00,59267
141,59.02,19.88,0.69,0.45,59.13,20.13,337756416,-843975616,59758
142,59.36,20.10,0.69,0.45,9999,9999,-1.00,-1.00,60259
143,59.70,20.33,0.69,0.45,9999,9999,-1.00,-1.00,60766
144,60.70,20.84,0.70,0.44,60.91,20.73,337756576,-843975552,61007
145,61.05,21.06,0.70,0.44,9999,9999,-1.00,-1.00,61508
146,61.98,21.32,0.73,0.43,62.34,20.73,337756704,-843975552,62008
147,62.47,21.38,0.74,0.42,62.70,20.73,337756736,-843975552,62508
148,62.84,21.59,0.74,0.42,9999,9999,-1.00,-1.00,63009
149,63.21,21.80,0.74,0.42,9999,9999,-1.00,-1.00,63516
150,63.58,22.01,0.74,0.42,9999,9999,-1.00,-1.00,64023
151,63.95,22.22,0.74,0.42,9999,9999,-1.00,-1.00,64530
152,64.32,22.43,0.74,0.42,9999,9999,-1.00,-1.00,65037
153,64.69,22.64,0.74,0.42,9999,9999,-1.00,-1.00,65544
154,67.36,23.12,0.76,0.36,66.97,20.73,337757120,-843975552,66011
